arXiv ID,submitted_at,title,presence_of vendor_author,thema1,thema2,vendor_of_the_used_machine,max_qubit_count
1907.09631v1,2019-07-13,Analysis of Quantum Approximate Optimization Algorithm under Realistic   Noise in Superconducting Qubits,FALSE,(F5) Applications: optimization (QAOA),,IBM,4
1907.13623v1,2019-07-31,Minimizing State Preparations in Variational Quantum Eigensolver by   Partitioning into Commuting Families,FALSE,(F3) Applications: quantum chemistry,,IBM,2
1908.00044v4,2019-07-31,Quantum Poker A game for quantum computers suitable for benchmarking   error mitigation techniques on NISQ devices,FALSE,(E) Quantum noise mitigation,,IBM,5
1908.00269v1,2019-08-01,Exact quantum search based on analytical multiphase matching for known   number of target items and the experimental demonstration on IBM Q,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,2
1908.01348v2,2019-08-01,Experimental realization of quantum teleportation using coined quantum   walks,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,5
1908.02163v1,2019-08-06,Resource-Efficient Quantum Algorithm for Protein Folding,TRUE,(F13) Applications: others,,IBM,9
1908.03404v2,2019-08-09,Probability representation of quantum dynamics using pseudostochastic   maps,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,2
1908.06935v1,2019-08-19,SU(2) non-Abelian gauge field theory in one dimension on digital quantum   computers,FALSE,(F9) Applications: high energy physics,,IBM,5
1908.07943v1,2019-08-21,An Optimized Quantum Maximum or Minimum Searching Algorithm and its   Circuits,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,2
1908.08054v1,2019-08-21,Automated quantum programming via reinforcement learning for   combinatorial optimization,TRUE,(F5) Applications: optimization (QAOA),,Rigetti,10
1908.08968v3,2019-08-23,Experimental detection of microscopic environments using thermodynamic   observables,FALSE,(F11) Applications: open quantum systems,,IBM,4
1908.09836v5,2019-08-26,Variational Quantum Algorithm for Non-equilibrium Steady States,FALSE,(F11) Applications: open quantum systems,,Rigetti,4
1908.10735v1,2019-08-28,Channel Coding of a Quantum Measurement,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,2
1909.02611v2,2019-09-05,Quantum classifier with tailored quantum kernel,FALSE,(F1) Applications: quantum machine learning,,IBM,5
1909.03617v3,2019-09-09,Experimental realization of state transfer by quantum walks with two   coins,FALSE,(F12) Applications: quantum walk,,IBM,6
1909.03898v3,2019-09-09,Variational algorithms for linear algebra,FALSE,"(F6) Applications: linear algebra (HHL, variational linear system solver)",,IBM,1
1909.04408v2,2019-09-10,Digital quantum simulation of linear and nonlinear optical elements,FALSE,(F8) Applications: simulating quantum mechanics,,IBM,4
1909.05219v1,2019-09-11,Benchmarking Noise Extrapolation with OpenPulse,FALSE,(E) Quantum noise mitigation,,IBM,1
1909.05596v1,2019-09-12,Nondestructive classification of quantum states using an algorithmic   quantum computer,FALSE,(F1) Applications: quantum machine learning,,IBM,3
1909.05701v2,2019-09-12,Quantum computation of magnon spectra,FALSE,(F2) Applications: condensed matter physics,,IBM,5
1909.05820v2,2019-09-12,Variational Quantum Linear Solver,FALSE,"(F6) Applications: linear algebra (HHL, variational linear system solver)",,Rigetti,10
1909.08640v1,2019-09-18,Variational Quantum Simulation of Ultrastrong Light-Matter Coupling,TRUE,(F8) Applications: simulating quantum mechanics,,IBM,3
1909.10732v2,2019-09-24,Hybrid digital-analog simulation of many-body dynamics with   superconducting qubits,FALSE,(F8) Applications: simulating quantum mechanics,,IBM,14
1909.12814v3,2019-09-27,Pairwise tomography networks for many-body quantum systems,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking","(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",IBM,5
1910.00802v3,2019-10-02,Noisy Simon Period Finding,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,13
1910.00815v2,2019-10-02,Modeling of Measurement-based Quantum Network Coding on IBM Q Experience   Devices,FALSE,(F13) Applications: others,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",IBM,6
1910.00938v4,2019-10-01,Masking of Quantum Information into Restricted Set of states,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",(F13) Applications: others,IBM,2
1910.01830v1,2019-10-04,Non-unitary operations for ground-state calculations in near term   quantum computers,TRUE,(F8) Applications: simulating quantum mechanics,(F2) Applications: condensed matter physics,IBM,8
1910.04292v2,2019-10-09,Variational Fast Forwarding for Quantum Simulation Beyond the Coherence   Time,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",(F8) Applications: simulating quantum mechanics,Rigetti,2
1910.05351v5,2019-10-11,Crossing a topological phase transition with a quantum computer,FALSE,(F2) Applications: condensed matter physics,(F8) Applications: simulating quantum mechanics,IBM,9
1910.05788v1,2019-10-13,Quantum Algorithms for Mixed Binary Optimization applied to Transaction   Settlement,TRUE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",(F4) Applications: finance,IBM,3
1910.06024v2,2019-10-14,Direct measurement of non-local interactions in the many-body localized   phase,TRUE,(F2) Applications: condensed matter physics,,Google,9
1910.06265v2,2019-10-14,Optimizing quantum phase estimation for the simulation of Hamiltonian   eigenstates,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",(F2) Applications: condensed matter physics,IBM,4
1910.09250v1,2019-10-21,Tomographic entanglement indicators in multipartite systems,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",(F8) Applications: simulating quantum mechanics,IBM,5
1910.09478v4,2019-10-21,Benchmarking quantum computers for real-time evolution of a $(1+1)$   field theory with error mitigation,FALSE,(F8) Applications: simulating quantum mechanics,(F9) Applications: high energy physics,IBM,4
1910.09512v3,2019-10-21,Quantum-classical simulation of two-site dynamical mean-field theory on   noisy quantum hardware,FALSE,(F2) Applications: condensed matter physics,,IBM,4
1910.09985v5,2019-10-22,Multilevel Combinatorial Optimization Across Quantum Architectures,FALSE,(F5) Applications: optimization (QAOA),,IBM,20
1910.11333v2,2019-10-23,"Supplementary information for ""Quantum supremacy using a programmable   superconducting processor""",TRUE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,Google,53
1910.11696v1,2019-10-23,An Improved Implementation Approach for Quantum Phase Estimation on   Quantum Computers,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,5
1910.12675v2,2019-10-28,Quantum Synchronization on the IBM Q System,FALSE,(F11) Applications: open quantum systems,(F8) Applications: simulating quantum mechanics,IBM,2
1910.12890v2,2019-10-28,Quantum equation of motion for computing molecular excitation energies   on a noisy quantum processor,TRUE,(F3) Applications: quantum chemistry,,IBM,4
1910.14478v3,2019-10-31,Optimization of CNOT circuits under topological constraints,FALSE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,5
1911.00277v2,2019-11-01,Estimating the precision for quantum process tomography,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",,IBM,3
1911.00305v4,2019-11-01,A Comparison of Quantum Walk Implementations on NISQ Computers,FALSE,(F12) Applications: quantum walk,,IBM,5
1911.00897v2,2019-11-03,Experimental Simulation of Hybrid Quantum Systems and Entanglement on a   Quantum Computer,FALSE,(F8) Applications: simulating quantum mechanics,,IBM,3
1911.07517v3,2019-11-18,Self-testing of quantum states using symmetric local hidden state model,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,2
1911.12548v1,2019-11-28,A Data Driven Approach to Learning The Hamiltonian Matrix in Quantum   Mechanics,FALSE,(F1) Applications: quantum machine learning,(F8) Applications: simulating quantum mechanics,IBM,2
1912.00978v3,2019-12-02,Efficient and scalable quantum walk algorithms via the quantum Fourier   transform,FALSE,(F12) Applications: quantum walk,,IBM,4
1912.01056v1,2019-12-02,Density matrix based perturbative corrections for improved quantum   simulation accuracy,FALSE,(E) Quantum noise mitigation,(F3) Applications: quantum chemistry,IBM,4
1912.02674v3,2019-12-05,Evidence of the entanglement constraint on wave-particle duality using   the IBM Q quantum computer,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,2
1912.04368v1,2019-12-09,Learning Non-Markovian Quantum Noise from Moirﾃｩ-Enhanced Swap   Spectroscopy with Deep Evolutionary Algorithm,TRUE,(F11) Applications: open quantum systems,,Google,4
1912.06105v4,2019-12-12,"Bell Diagonal and Werner state generation: entanglement, non-locality,   steering and discord on the IBM quantum computer",FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,2
1912.07486v1,2019-12-16,Performance and error modeling of Deutsch's algorithm in IBM Q,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking","(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",IBM,2
1912.08278v2,2019-12-17,Transfer learning in hybrid classical-quantum neural networks,FALSE,(F1) Applications: quantum machine learning,,IBM,4
1912.08310v2,2019-12-17,Driven-dissipative quantum mechanics on a lattice: Simulating a   fermionic reservoir on a quantum computer,FALSE,(F11) Applications: open quantum systems,,IBM,3
1912.12037v2,2019-12-27,Calculation of $ﾏ$ on the IBM quantum computer and the accuracy of   one-qubit operations,FALSE,(F13) Applications: others,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",IBM,1
1912.12366v1,2019-12-27,Approximate Graph Spectral Decomposition with the Variational Quantum   Eigensolver,FALSE,(F13) Applications: others,,Rigetti,6
2001.01120v2,2020-01-04,Quantum Chemistry Simulations of Dominant Products in Lithium-Sulfur   Batteries,TRUE,(F3) Applications: quantum chemistry,,IBM,4
2001.02826v1,2020-01-09,Software Mitigation of Crosstalk on Noisy Intermediate-Scale Quantum   Computers,TRUE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",(E) Quantum noise mitigation,IBM,9
2001.04449v3,2020-01-13,A quantum-classical cloud platform optimized for variational hybrid   algorithms,TRUE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,Rigetti,2
2001.06575v3,2020-01-18,Subdivided Phase Oracle for NISQ Search Algorithms,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)","(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",IBM,5
2001.07998v1,2020-01-22,Testing a Quantum Error-Correcting Code on Various Platforms,FALSE,(D) Quantum error correction,,IBM,4
2001.09980v2,2020-01-27,Efficient correction of multiqubit measurement errors,FALSE,(E) Quantum noise mitigation,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",IBM,8
2002.01471v2,2020-02-04,Rigorous measurement error correction,FALSE,(E) Quantum noise mitigation,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",IBM,1
2002.01905v3,2020-02-05,Experimental Implementation of Quantum Walks on IBM Quantum Computers,FALSE,(F12) Applications: quantum walk,,IBM,4
2002.04620v3,2020-02-11,Identification of symmetry-protected topological states on noisy quantum   computers,TRUE,(F2) Applications: condensed matter physics,(F8) Applications: simulating quantum mechanics,IBM,8
2002.07389v2,2020-02-18,Quantum Implementation of Risk Analysis-relevant Copulas,FALSE,(F4) Applications: finance,,IBM,5
2002.08671v1,2020-02-20,Identification of networking quantum teleportation on 14-qubit IBM   universal quantum computer,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,13
2003.01009v3,2020-03-02,Demonstrating NISQ Era Challenges in Algorithm Design on IBM's 20 Qubit   Quantum Computer,FALSE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,6
2003.01011v2,2020-03-02,Detecting entanglement by the mean value of spin on a quantum computer,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,4
2003.01293v4,2020-03-03,Demonstration of the trapped-ion quantum-CCD computer architecture,TRUE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,Quantinuum,4
2003.02354v1,2020-03-04,Correlated Randomized Benchmarking,TRUE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,4
2003.06086v2,2020-03-13,Digital Simulation of Topological Matter on Programmable Quantum   Processors,FALSE,(F2) Applications: condensed matter physics,,IBM,8
2003.09910v1,2020-03-22,Simulation of single photon dynamics in coupled cavities through IBM   quantum computer,FALSE,(F8) Applications: simulating quantum mechanics,,IBM,2
2003.13124v2,2020-03-29,Quantum simulations of a qubit of space,FALSE,(F9) Applications: high energy physics,,IBM,8
2004.00814v1,2020-04-02,Single Quantum Deletion Error-Correcting Codes,FALSE,(D) Quantum error correction,,IBM,4
2004.03079v1,2020-04-07,Methods for Accelerating Geospatial Data Processing Using Quantum   Computers,FALSE,(F5) Applications: optimization (QAOA),(F1) Applications: quantum machine learning,Rigetti,25
2004.04174v4,2020-04-08,Hartree-Fock on a superconducting qubit quantum computer,TRUE,(F3) Applications: quantum chemistry,,Google,12
2004.04197v3,2020-04-08,Quantum Approximate Optimization of Non-Planar Graph Problems on a   Planar Superconducting Processor,TRUE,(F5) Applications: optimization (QAOA),,Google,23
2004.04533v1,2020-04-09,Noisy three-player dilemma game: Robustness of the quantum advantage,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,4
2004.04836v1,2020-04-09,Towards Dynamic Simulations of Materials on Quantum Computers,FALSE,(F2) Applications: condensed matter physics,,IBM,2
2004.05739v2,2020-04-13,Practical numerical integration on NISQ devices,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,3
2004.06052v1,2020-04-13,Architecture-aware synthesis of phase polynomials for NISQ devices,TRUE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,20
2004.06755v1,2020-04-14,Qiskit Pulse: Programming Quantum Computers Through the Cloud with   Pulses,TRUE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",,IBM,2
2004.08240v7,2020-04-15,Characterizing the memory capacity of transmon qubit reservoirs,FALSE,(F1) Applications: quantum machine learning,,IBM,8
2004.11037v1,2020-04-23,Benchmarking near-term devices with quantum error correction,TRUE,(D) Quantum error correction,,IBM,43
2004.11205v2,2020-04-23,Optimized Quantum Compilation for Near-Term Algorithms with OpenPulse,TRUE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",(F5) Applications: optimization (QAOA),IBM,5
2004.11416v1,2020-04-23,Quantum Solver of Contracted Eigenvalue Equations for Scalable Molecular   Simulations on Quantum Computing Devices,FALSE,(F3) Applications: quantum chemistry,,IBM,2
2004.13868v1,2020-04-28,Preparation of an Exciton Condensate of Photons on a 53-Qubit Quantum   Computer,FALSE,(F2) Applications: condensed matter physics,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",IBM,53
2004.14658v2,2020-04-30,Quantum Delocalised-Interactions,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,2
2004.14970v1,2020-04-30,Coreset Clustering on Small Quantum Computers,FALSE,(F1) Applications: quantum machine learning,(F5) Applications: optimization (QAOA),IBM,5
2005.02447v1,2020-05-05,Generalization of CNOT-based Discrete Circular Quantum Walk: Simulation   and Effect of Gate Errors,FALSE,(F12) Applications: quantum walk,,IBM,4
2005.03547v2,2020-05-07,Interaction-free measurements and counterfactual computation in IBM   quantum computers,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,4
2005.07601v2,2020-05-15,Learning-based quantum error mitigation,FALSE,(E) Quantum noise mitigation,,IBM,2
2005.10811v1,2020-05-21,A deep learning model for noise prediction on near-term quantum devices,FALSE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,5
2005.11271v3,2020-05-22,Revisiting the experimental test of Mermin's inequalities at IBMQ,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,5
2005.12474v1,2020-05-26,Experimental evaluation of quantum Bayesian networks on IBM QX hardware,FALSE,(F1) Applications: quantum machine learning,(F4) Applications: finance,IBM,5
2005.12504v2,2020-05-26,Mermin's Inequalities of Multiple qubits with Orthogonal Measurements on   IBM Q 53-qubit system,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,7
2005.12820v1,2020-05-26,Just-in-time Quantum Circuit Transpilation Reduces Noise,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",,IBM,8
2005.12874v1,2020-05-26,Quantum Divide and Compute: Hardware Demonstrations and Noisy   Simulations,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,6
2005.13018v3,2020-05-26,QASMBench: A Low-level QASM Benchmark Suite for NISQ Evaluation and   Simulation,FALSE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,2
2006.01273v3,2020-06-01,"Application-Motivated, Holistic Benchmarking of a Full Quantum Computing   Stack",TRUE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",,IBM,5
2006.01976v2,2020-06-02,Noise robustness and experimental demonstration of a quantum generative   adversarial network for continuous distributions,FALSE,(F1) Applications: quantum machine learning,,Rigetti,2
2006.02799v2,2020-06-04,Quantum Computation,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,5
2006.03219v1,2020-06-05,Estimation of pure states using three measurement bases,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,5
2006.04010v2,2020-06-07,Random circuit block-encoded matrix and a proposal of quantum LINPACK   benchmark,FALSE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,15
2006.05524v3,2020-06-09,Determining quantum phase diagrams of topological Kitaev-inspired models   on NISQ quantum hardware,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",,IBM,8
2006.06004v1,2020-06-10,Variational Quantum Boltzmann Machines,TRUE,(F1) Applications: quantum machine learning,,IBM,4
2006.10037v2,2020-06-17,Prospect of using Grover's search in the noisy-intermediate-scale   quantum-computer era,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,4
2006.10585v3,2020-06-18,Process tomography of Robust Dynamical Decoupling in Superconducting   Qubits,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",,Rigetti,2
2006.10656v1,2020-06-18,Canonical Construction of Quantum Oracles,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,Quantinuum,5
2006.13794v2,2020-06-24,Bell inequality violation on small NISQ computers,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,4
2006.14044v2,2020-06-24,Mitigating measurement errors in multi-qubit experiments,TRUE,(E) Quantum noise mitigation,,IBM,20
2006.15438v3,2020-06-27,Quantum Approximate Optimization for Hard Problems in Linear Algebra,FALSE,(F5) Applications: optimization (QAOA),,IBM,5
2006.16223v3,2020-06-29,Amplitude estimation via maximum likelihood on noisy quantum computer,TRUE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,3
2007.00368v3,2020-07-01,Quantum optimal control with quantum computers: an hybrid algorithm   featuring machine learning optimization,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",(F1) Applications: quantum machine learning,IBM,5
2007.01028v3,2020-07-02,Quantum Ensemble for Classification,FALSE,(F1) Applications: quantum machine learning,,IBM,4
2007.01681v2,2020-07-03,On Actual Preparation of Dicke State on a Quantum Computer,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,4
2007.03663v3,2020-07-07,Measurement Error Mitigation in Quantum Computers Through Classical   Bit-Flip Correction,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,2
2007.04447v2,2020-07-08,An Algorithm for Quantum Computation of Particle Decays,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,5
2007.04694v1,2020-07-09,Experimental implementation of leakage elimination operators,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,5
2007.04900v2,2020-07-09,Reformulation of the No-Free-Lunch Theorem for Entangled Data Sets,FALSE,(F1) Applications: quantum machine learning,,Rigetti,6
2007.06539v3,2020-07-13,Benchmarking 16-element quantum search algorithms on superconducting   quantum processors,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",,IBM,4
2007.08532v2,2020-07-16,Experimental implementation of non-Clifford interleaved randomized   benchmarking with a controlled-S gate,TRUE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",　,IBM,2
2007.10894v1,2020-07-21,Optimizing Quantum Search with a Binomial Version of Grover's Algorithm,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",　,Quantinuum,4
2007.11212v4,2020-07-22,Speedup of the Quantum Adiabatic Algorithm using Delocalization   Catalysis,FALSE,(F8) Applications: simulating quantum mechanics,　,IBM,5
2007.15521v2,2020-07-30,Experimental semi-autonomous eigensolver using reinforcement learning,FALSE,(F3) Applications: quantum chemistry,　,IBM,2
2008.00691v1,2020-08-03,Quantum versus Classical Generative Modelling in Finance,TRUE,(F1) Applications: quantum machine learning,(F4) Applications: finance,Rigetti,28
2008.01081v1,2020-08-03,Analysis of five techniques for the internal representation of a digital   image inside a quantum processor,FALSE,(F13) Applications: others,　,IBM,5
2008.02102v1,2020-08-04,Quantum amplitude estimation algorithms on IBM quantum devices,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",　,IBM,3
2008.03999v1,2020-08-10,Quantifying coherence of quantum measurements,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",　,IBM,1
2008.06228v1,2020-08-14,A novel three party Quantum secret sharing scheme based on Bell state   sequential measurements with application in quantum image sharing,FALSE,(F13) Applications: others,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",IBM,8
2008.06443v1,2020-08-14,Quantum-enhanced analysis of discrete stochastic processes,FALSE,(F13) Applications: others,(F4) Applications: finance,IBM,5
2008.06449v1,2020-08-14,Quantum algorithm for alchemical optimization in material design,TRUE,(F3) Applications: quantum chemistry,　,IBM,0
2008.08144v1,2020-08-18,Microcanonical and finite temperature ab initio molecular dynamics   simulations on quantum computers,TRUE,(F3) Applications: quantum chemistry,　,IBM,3
2008.08571v2,2020-08-19,Demonstration of quantum volume 64 on a superconducting quantum   computing system,TRUE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",,IBM,6
2008.08763v3,2020-08-20,Scattering in the Ising Model Using Quantum Lanczos Algorithm,FALSE,(F2) Applications: condensed matter physics,　,IBM,4
2008.09079v4,2020-08-20,Pure State Tomography with Fourier Transformation,FALSE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",　,IBM,3
2008.09612v3,2020-08-21,Characterizing the Stability of NISQ Devices,FALSE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",　,IBM,5
2008.10914v4,2020-08-25,Algorithmic Error Mitigation Scheme for Current Quantum Processors,TRUE,(E) Quantum noise mitigation,(F3) Applications: quantum chemistry,IBM,6
2008.11347v2,2020-08-26,Hybrid Quantum-Classical Eigensolver Without Variation or Parametric   Gates,FALSE,(F3) Applications: quantum chemistry,　,IBM,5
2008.12525v1,2020-08-28,Finding Small and Large k-Clique Instances on a Quantum Computer,FALSE,"(F7) Applications: primitives (grover, amplitude amplification, phase estimation, variational algorithm, optimizers, measurements)",　,IBM,9
2008.13490v1,2020-08-31,Supercomputer simulations of transmon quantum computers,FALSE,"(C) System and software development for quantum computers: compiler, circuit optimization, gate decomposition, benchmarking different quantum computers, benchmark such as XEB, quantum volume",　,IBM,5
2009.01283v1,2020-09-02,Simulation of non-radiative energy transfer in photosynthetic systems   using a quantum computer,FALSE,(F8) Applications: simulating quantum mechanics,　,IBM,2
2009.01333v1,2020-09-02,Asymmetry of CNOT gate operation in superconducting transmon quantum   processors using cross-resonance entangling,TRUE,"(B) Tomography, noise characterization, quantum control (including pulse optimization), gate benchmarking",　,IBM,2
2009.03539v1,2020-09-08,Shortcuts to Adiabaticity in Digitized Adiabatic Quantum Computing,FALSE,(F2) Applications: condensed matter physics,,IBM,5
2009.03542v1,2020-09-08,Quantum Computation of Finite-Temperature Static and Dynamical   Properties of Spin Systems Using Quantum Imaginary Time Evolution,TRUE,(F2) Applications: condensed matter physics,,IBM,5
2009.04417v4,2020-09-09,Mitiq: A software package for error mitigation on noisy quantum   computers,FALSE,(E) Quantum noise mitigation,,IBM,2
2009.04484v4,2020-09-09,Enhancing the Quantum Linear Systems Algorithm using Richardson   Extrapolation,TRUE,"(F6) Applications: linear algebra (HHL, variational linear system solver)",,IBM,4
2009.04584v2,2020-09-09,Design of a Quantum-Repeater using Quantum-Circuits and benchmarking its   performance on an IBM Quantum-Computer,FALSE,"(A) Fundamentals of physics and quantum information: Bell inequality, entanglement test (GHZ, graph state), protocols including quantum teleportation",,IBM,15
2009.04648v1,2020-09-10,Many Body Thermodynamics on Quantum Computers via Partition Function   Zeros,TRUE,(F2) Applications: condensed matter physics,,IonQ,5
2009.05840v1,2020-09-12,A hybrid scheme for prime factorization and its experimental   implementation using IBM quantum processor,FALSE,(F13) Applications: others,,IBM,1
2009.06601v5,2020-09-14,The Efficient Preparation of Normal Distributions in Quantum Registers,FALSE,(F13) Applications: others,,Honeywell,5
